Product name,ReviewText,Rating,Source,Country
Angel,"Angel has a very unique scent that I never find it similar with any other perfume. And most of mugler perfume has their own uniqueness. I don’t really like it at first, but the more I smell it, the more I like the scent. With angel, you only need 2 spray for the entire day. Love it!",5,Sephora,us
Angel,"Love this perfume. All though it does have a hint of armpit smell.. but for some reason its intriguing? Definitely stays on a really long time but so does the armpit smell. Its weird, its like a hint of armpit. Its good and then boom armpit and you get taken a back a bit but then smell the goodness again and you forgot the armpit smell but then occasionally get reminded of it",4,Sephora,us
Angel,"Good lord, when I first sprayed this I almost flipped over backward into my bathtub. It was certifiably horrific. However, I didn't want to change my outfit (you feel me?), so I was stuck with what I thought was sure to be a day of avoidance. However, a few hours into my trial I started to question, what IS that smell? It was ME! Smelling like a somewhat delightful vixen. I got home, hung up my button-down and went to bed, thankful no one booted me from their presence. I woke up the next morning and went to the shirt just to see the damage, and would you believe that shirt smelled amazing? I mean AMAZING. I was so confused that I went to the trial spritzer again and sprayed it on my new outfit and BAM. Once again hit with a HORRIFIC, soul-curling smell. Perplexed, I wore it awhile longer and it amazingly developed once again into a beautiful smell. Basically, this will knock you off your feet but stay with it because it develops into a completely different perfume. I now know to spray it on my clothes the night before so it can turn from WILDLY offensive to magnificent. Hope this helps!",5,Sephora,us
Angel,Love this fragrance! Very mature smell! Amazing but a little goes a long way. One spritz is all you need LITERALLY!,5,Sephora,us
Angel,This may be the worst smell known to man.  I would rather smear dog poop on my arm and deal with that than this.  This scent(and I am not scent sensitive) gives me an instant headache along with overpowering nausea.  Gross. Gross. Gross.,1,Sephora,us
Angel,"Love, love love it. So glad to order it and receive it so fast.",5,Sephora,us
Angel,This is my facve scent of all time. So much so that i refuse to tell people what it is! OMG the uniqueness commands the room and it lasts for hours subtly changing just enough to make me realize...hey i smell amazing. LOL this is a classic that will always be in my collection!,5,Sephora,us
Angel,"I bought this blind during the big August sale.  The descriptions (thank you, Sephora regulars) intrigued me, and the “sophisticated gourmand” description got to me as well.  I’ve had it for several days, here’s the thoughts:

1) doesn’t smell like BO.  Too many people have mentioned this in reviews for it to be a joke or a one-off; there must be SOMETHING to this BO smell.  But if so, my novice and damaged (full sinus surgery) nose can’t pick it up.

2) it must be so audacious and cutting edge to polarize an entire humanity of nostrils the way it does...but am I crazy for not seeing (or smelling) that?  I find nothing “repulsive” to the degree some of you describe.

What I get: apricot, honey, and musk.  Especially the honey, at least mid-wear.  On me it dries down to a subtle honey musk.  (Which works for me, as my favorite is Blooms and Bees by Michel Designs).  I did buy the EDO spray and the body oil; I liked the body oil scent better though it didn’t have the longevity if the EDP.

Summary:  not a love or hate scent; a nice, albeit heavy, honey musk.  Buy the body oil first.",3,Sephora,us
Angel,"Angel is spicey, intoxicating and sexy. It is a heavy scent that lasts a very long time. I smell it when I wake up the next morning and my clothes smell of it until they get washed. My boyfriend says this is his favorite scent I've ever worn, and I've worn a ton. Not for someone who likes it subtle. Definately a fragrance that draws attention. I am giving it 5 stars because it's longevity and complexity deserves it. Alien is also a favorite, though that scent does not last as strongly on my skin as Angel sadly. More so it becomes a subtle sweet smell vs the empowered jasmine upon first spritz. Angel remains warm, spicy and sexy all throughout it's initial spray and drydown.",5,Sephora,us
Angel,"I know that it's been mentioned before but it's important to note that no perfume can compliment every person that tries to wear it. However, I can confidently claim that this perfume has performed beautifully on me. It was very potent, but not too overpowering. It was long-lasting and did not require too many sprays. Angel has become an essential for me. To give you a better idea of how this may work for you I've also been a very big fan of Prada Candy, V",5,Sephora,us
